lat,lon,ord_cnt
37.8186023,127.093476,4
37.8007021856963,127.0777251203868,1
37.8186491,127.0978124,6
37.83014889767379,127.0837502993765,1
37.82456432,127.04884057,8
37.8451251,127.0622692,8
37.81746355330706,127.0528523162168,4
37.81678827,127.09386446,69
37.8331296,127.0718415,12
37.834370769158745,127.0742856097429,4
37.8345346,127.0697886,19
37.79562386,127.0828383,15
37.81973147,127.04445222,13
37.81869976,127.09630775,3
37.80365040621082,127.002914605152,7
37.82719662413271,127.0776635973527,6
37.8132699,127.0841852,9
37.8013244,127.0799394,11
37.81473085481195,127.08505195004255,1
37.81605793337501,127.05786596604071,2
37.82834035899619,127.051790537687,1
37.83719176640492,127.0697756348933,6
37.80637867790728,127.09528376268031,5
37.7940256,127.0846789,1
37.8367168,127.0735853,1
37.83031218121813,127.1004751251719,1
37.8361878,127.0658187,1
37.83720207,127.06722741,11
37.8339752,127.0730584,5
37.80188743522086,127.0818566907738,8
37.8150344,127.1004475,1
37.8258208,127.0910372,3
37.8470479711041,127.0626492681573,1
37.830341780803565,127.09345288082778,2
37.81193220425957,127.096338009879,17
37.78683499796861,126.9903940594445,1
37.8120533,127.0889321,2
37.84067365,127.05428405,2
37.8257296,127.0910304,3
37.81532571785618,127.05305482070042,7
37.8371603,127.0839475,1
37.82116960459439,127.0530561885136,1
37.79014310234124,127.07857648519104,1
37.82517537,127.04953493,2
37.79104133,127.09758708,1
37.8131102606409,127.1127289125043,2
37.82071399886657,127.1012588636684,5
37.82448346910704,127.10149368611495,3
37.8127787,127.0863618,2
37.81664446,127.04758939,2
37.81792617,127.04659097,5
37.8145731034224,127.0588349370585,1
37.81772009030819,127.0541839752808,1
37.78799389525212,127.0785722150077,2
37.8268144,127.0808927,1
37.81423212577138,127.1083812773474,1
37.82988387930463,127.06126615319711,2
37.8165888,127.1112208,2
37.7915281969625,127.0754317972582,1
37.83117311739336,127.0758052806156,3
37.83114737,127.07525463,1
37.83292363480199,127.06615267228784,1
37.8140358,127.0859781,1
37.79028876373098,127.0797888344725,5
37.82147725142932,127.0422900959994,4
37.794974,127.0793458,2
37.79128840110471,127.07535318096916,1
37.80926152,127.10222502,1
37.83722983,127.06647748,4
37.7981704,127.0819593,1
37.8480051,127.0529158,3
37.84364571,127.0643386,1
37.8004139,127.0854694,1
37.819219720126156,127.09010780580947,1
37.83588645818629,127.0710425178416,2
37.8362382,127.0865189,3
37.78290317,127.08525511,1
37.82853762866889,127.0879804013641,1
37.81664214,127.04738531,1
37.7985543,127.1087288,1
37.7955167494942,127.1035593080588,1
37.82230770527404,127.0761354874299,2
37.82121580527371,127.0726825755338,1
37.804051,126.967289,1
37.824171,127.0897594,1
37.836462,127.0924889,1
37.80268263376601,126.9840631161694,1
37.8284778,127.0907711,1
37.83569922896629,127.0655715450333,1
37.8360463,127.0661785,1
37.8133567,127.0971591,1
37.8356494,127.0700273,6
37.83320808477821,127.0695503502864,6
37.812111,127.0853101,4
37.82871555671132,127.0879145278929,24
37.80028995,127.08097722,5
37.81311468244694,127.0918983920555,7
37.83470277,127.08966988,4
37.830398257963836,127.06790212310256,9
37.83668930860281,127.06795165209076,17
37.80130198300258,127.07995216260036,13
37.8469424,127.0638322,18
37.8340486,127.0859842,13
37.80160050464814,127.0784507022642,1
37.80194015495714,127.0779092853465,1
37.78596701520368,126.993787024727,1
37.819577571858005,126.98132467249133,1
37.82021819927456,127.092157067348,6
37.79807680194013,127.0786814001598,3
37.8421714,127.0644023,4
37.80433082493539,127.0776958768618,3
37.8037943189158,127.09071443379632,5
37.795445518344,127.0791865970421,1
37.8185766369313,127.0999471349198,1
37.8357219,127.0886501,1
37.8219298,127.1017936,8
37.832152024789316,127.08861746922906,1
37.8188138,127.044596,1
37.84893083587041,127.0665849178549,2
37.83530542668051,127.0701117391559,3
37.81737072,127.048813,4
37.82564920354113,127.1020762773338,1
37.80663495152813,127.0938266755443,1
37.815884955541065,127.097408835051,5
37.82937752700322,127.0944731698514,2
37.79090576838432,127.0790193651781,1
37.8296945,127.0896165,1
37.81611256291173,127.0587817654166,1
37.9092482,126.997546,2
37.84816284945155,127.06482451413939,4
37.81511395841461,127.0965042547899,2
37.84731703038095,127.0630601827609,3
37.81676052,127.0956143,1
37.83308498358363,127.06860679948886,2
37.79922060630518,127.10225352626088,1
37.78901591643204,127.0785936219381,2
37.82878923555718,127.0856956737544,3
37.837088,127.0698143,3
37.79522970064779,127.0840250628354,3
37.78864675206074,127.0827389346052,2
37.8182336,127.0527402,1
37.81737072,127.04900743,3
37.820848644761774,127.04460006371545,1
37.80462242,127.06106225,1
37.83023057081757,127.0886755677434,1
37.839431782219464,127.0716591555152,1
37.78876355,127.08275517,4
37.8253707,127.0991123,1
37.8248520615789,127.088659639636,1
37.79106898080909,127.0789866226352,1
37.8162717,127.0882635,1
37.81537502692494,127.05840612345946,1
37.81436435357704,127.04261336245037,1
37.82911077069942,127.05328007894087,1
37.8329103,127.0904656,1
37.829038,127.097978,1
37.8113466,127.0496877,1
37.82139590411616,127.0928353839391,1
37.82936034562556,127.0938353052184,1
37.8198751,127.0492994,1
37.79795386315449,127.0797420292573,1
37.8051049760549,127.08823252759947,1
37.78939607625193,127.0071069328859,1
37.81254670316171,127.0575497056022,1
37.80263419947286,127.07603719639404,1
37.82822196814357,127.0759142883731,1
37.8171360921479,127.0589102108331,1
37.8025653,126.998644,1
37.83846788206889,127.0935926872711,8
37.8144221,127.0835588,14
37.833641343794966,127.06674666728054,8
37.8132605,127.0907035,9
37.81425696894283,127.05951285601,2
37.8273162,127.0775839,8
37.81330893259977,127.0859198386828,6
37.81317167934789,127.0919969482791,1
37.8177147009453,127.0965098841032,8
37.83250016243355,127.0669588769691,1
37.825584,127.0420915,3
37.8431892,127.0533485,23
37.8424748,127.0664409,3
37.8213197,127.0928116,1
37.81362181,127.0849487,14
37.81903714,127.0459521,2
37.82134904869893,127.09864256834733,6
37.817452841010706,127.09769256877661,9
37.820671762955755,127.08884063358721,1
37.8160952,127.0513248,1
37.79787057082887,127.1056464321766,5
37.8373017,127.0863522,6
37.8295729,127.0978962,5
37.8388329,127.0959337,4
